score_a,score_b,calibrated_diff,abs_diff
1.4296875,4.0625,-2.6328125,2.6328125
-0.9609375,-4.40625,3.4453125,3.4453125
-3.515625,0.62890625,-4.14453125,4.14453125
1.8515625,-4.53125,6.3828125,6.3828125
2.234375,5.4375,-3.203125,3.203125
-2.5625,0.12060546875,-2.68310546875,2.68310546875
-4.84375,-4.46875,-0.375,0.375
-5.40625,-4.84375,-0.5625,0.5625
2.03125,0.392578125,1.638671875,1.638671875
-2.234375,-2.234375,0.0,0.0
2.953125,-1.7734375,4.7265625,4.7265625
3.109375,4.0625,-0.953125,0.953125
4.6875,4.3125,0.375,0.375
-5.375,-3.96875,-1.40625,1.40625
3.078125,4.3125,-1.234375,1.234375
-0.1064453125,0.3359375,-0.4423828125,0.4423828125
-0.38671875,-0.234375,-0.15234375,0.15234375
-0.05224609375,-0.05224609375,0.0,0.0
-3.0,2.03125,-5.03125,5.03125
-0.92578125,0.27734375,-1.203125,1.203125
1.953125,3.3125,-1.359375,1.359375
-5.21875,-0.1640625,-5.0546875,5.0546875
0.5,-3.78125,4.28125,4.28125
2.53125,1.8984375,0.6328125,0.6328125
2.640625,4.5,-1.859375,1.859375
4.1875,1.421875,2.765625,2.765625
-3.421875,-5.40625,1.984375,1.984375
-0.038330078125,0.875,-0.913330078125,0.913330078125
0.9140625,-4.28125,5.1953125,5.1953125
-0.271484375,-5.46875,5.197265625,5.197265625
-0.85546875,-0.6796875,-0.17578125,0.17578125
0.006439208984375,2.609375,-2.602935791015625,2.602935791015625
1.7109375,0.30859375,1.40234375,1.40234375
4.0625,5.1875,-1.125,1.125
3.3125,-1.0234375,4.3359375,4.3359375
4.5625,0.138671875,4.423828125,4.423828125
-0.251953125,-0.71484375,0.462890625,0.462890625
1.2890625,3.078125,-1.7890625,1.7890625
3.609375,2.75,0.859375,0.859375
-0.3671875,-1.1171875,0.75,0.75
7.65625,5.46875,2.1875,2.1875
-3.296875,-2.5625,-0.734375,0.734375
-0.65625,-1.0,0.34375,0.34375
-1.7421875,-2.65625,0.9140625,0.9140625
1.5625,1.046875,0.515625,0.515625
-0.1787109375,4.71875,-4.8974609375,4.8974609375
1.9453125,-1.9375,3.8828125,3.8828125
-3.8125,-4.65625,0.84375,0.84375
4.65625,0.412109375,4.244140625,4.244140625
1.5,-0.94140625,2.44140625,2.44140625
2.546875,0.890625,1.65625,1.65625
1.09375,0.474609375,0.619140625,0.619140625
2.375,6.09375,-3.71875,3.71875
0.12451171875,1.3671875,-1.24267578125,1.24267578125
1.1484375,1.4921875,-0.34375,0.34375
-0.234375,4.9375,-5.171875,5.171875
3.234375,2.34375,0.890625,0.890625
3.078125,2.5625,0.515625,0.515625
-0.875,2.609375,-3.484375,3.484375
-4.84375,-0.5078125,-4.3359375,4.3359375
2.109375,-2.390625,4.5,4.5
9.5,7.03125,2.46875,2.46875
-2.984375,-3.859375,0.875,0.875
-4.21875,4.75,-8.96875,8.96875
-4.59375,-1.3359375,-3.2578125,3.2578125
1.3359375,4.28125,-2.9453125,2.9453125
-0.49609375,0.41015625,-0.90625,0.90625
9.5,6.59375,2.90625,2.90625
7.15625,2.96875,4.1875,4.1875
4.4375,2.171875,2.265625,2.265625
-5.625,-4.15625,-1.46875,1.46875
3.25,1.0859375,2.1640625,2.1640625
6.15625,2.9375,3.21875,3.21875
2.03125,-4.15625,6.1875,6.1875
-4.875,-4.75,-0.125,0.125
-2.484375,-5.09375,2.609375,2.609375
3.96875,-6.09375,10.0625,10.0625
-2.5,-2.75,0.25,0.25
4.53125,3.46875,1.0625,1.0625
3.375,2.078125,1.296875,1.296875
0.703125,1.375,-0.671875,0.671875
-2.40625,-3.421875,1.015625,1.015625
1.796875,5.84375,-4.046875,4.046875
0.2119140625,1.703125,-1.4912109375,1.4912109375
-1.8359375,-0.70703125,-1.12890625,1.12890625
1.828125,-2.6875,4.515625,4.515625
-4.40625,-3.234375,-1.171875,1.171875
6.90625,6.90625,0.0,0.0
-3.515625,-6.40625,2.890625,2.890625
3.5,5.1875,-1.6875,1.6875
2.71875,-0.70703125,3.42578125,3.42578125
-2.0625,-5.09375,3.03125,3.03125
1.7890625,-1.2734375,3.0625,3.0625
-5.625,-4.1875,-1.4375,1.4375
